,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Playing Time
,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
20,Patson Daka,zm ZAM,"FW,MF",25.0,23.0,6,736.0,8.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,0.1,1.3,11.0,8.0,36.0,0.12,0.0,0.12,0.12,0.12,0.15,0.01,0.16,0.15,0.16,Matches,Leicester-City,
21,Abdul Fatawu Issahaku,gh GHA,FW,20.0,11.0,6,579.0,6.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.6,2.0,42.0,17.0,60.0,0.0,0.31,0.31,0.0,0.31,0.06,0.24,0.31,0.06,0.31,Matches,Leicester-City,
22,Ricardo Pereira,pt POR,DF,30.0,10.0,4,388.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Leicester-City,
23,Danny Ward,wls WAL,GK,31.0,2.0,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester-City,
24,Hamza Choudhury,bd BAN,"MF,DF",26.0,4.0,1,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,4.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,0.27,Matches,Leicester-City,
25,Woyo Coulibaly,ml MLI,DF,25.0,4.0,1,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Leicester-City,
26,Jeremy Monga,,"FW,MF",,7.0,0,112.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,6.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.13,0.01,0.14,0.13,0.14,Matches,Leicester-City,
27,Odsonne Édouard,fr FRA,FW,26.0,4.0,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,Leicester-City,
28,Jake Evans,,FW,,4.0,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester-City,
29,Olabade Aluko,,DF,,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester-City,
30,Will Alves,eng ENG,FW,19.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester-City,
31,Michael Golding,eng ENG,MF,18.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester-City,
32,Sammy Braybrooke,eng ENG,MF,20.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester-City,
33,Thomas Cannon,ie IRL,FW,21.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester-City,
34,Henry Cartwright,eng ENG,MF,19.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester-City,
35,Daniel Iversen,dk DEN,GK,27.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester-City,
36,Benjamin Nelson,eng ENG,DF,20.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester-City,
37,Thomas Wilson-Brown,eng ENG,MF,19.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester-City,
38,Squad Total,,,26.6,38.0,418,3420.0,38.0,33.0,25.0,58.0,31.0,2.0,3.0,87.0,0.0,32.6,30.4,25.1,55.5,576.0,1082.0,1072.0,0.87,0.66,1.53,0.82,1.47,0.86,0.66,1.52,0.8,1.46,,Leicester-City,
39,Opponent Total,,,26.3,38.0,418,3420.0,38.0,77.0,57.0,134.0,74.0,3.0,4.0,58.0,2.0,71.9,68.8,52.2,121.0,735.0,1755.0,1736.0,2.03,1.5,3.53,1.95,3.45,1.89,1.37,3.27,1.81,3.19,,Leicester-City,
0,Dara O'Shea,ie IRL,DF,25.0,35.0,35,3122.0,34.7,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,1.3,1.3,0.5,1.8,3.0,80.0,8.0,0.0,0.06,0.06,0.0,0.06,0.04,0.01,0.05,0.04,0.05,Matches,Ipswich-Town,
1,Leif Davis,eng ENG,DF,24.0,33.0,32,2743.0,30.5,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,4.9,5.8,52.0,59.0,137.0,0.03,0.07,0.1,0.03,0.1,0.03,0.16,0.19,0.03,0.19,Matches,Ipswich-Town,
2,Liam Delap,eng ENG,FW,21.0,37.0,32,2593.0,28.8,12.0,2.0,14.0,10.0,2.0,2.0,12.0,0.0,9.3,7.8,1.9,9.7,61.0,30.0,110.0,0.42,0.07,0.49,0.35,0.42,0.32,0.07,0.39,0.27,0.34,Matches,Ipswich-Town,
3,Sam Morsy,eg EGY,MF,32.0,33.0,31,2751.0,30.6,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,0.4,0.4,1.2,1.6,22.0,120.0,13.0,0.03,0.03,0.07,0.03,0.07,0.01,0.04,0.05,0.01,0.05,Matches,Ipswich-Town,
4,Omari Hutchinson,eng ENG,"MF,FW",20.0,31.0,30,2583.0,28.7,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,2.9,2.9,3.5,6.4,97.0,75.0,159.0,0.1,0.07,0.17,0.1,0.17,0.1,0.12,0.22,0.1,0.22,Matches,Ipswich-Town,
5,Jacob Greaves,eng ENG,DF,23.0,25.0,25,2205.0,24.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.3,1.3,0.3,1.6,11.0,69.0,11.0,0.04,0.0,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06,Matches,Ipswich-Town,
6,Jens Cajuste,se SWE,MF,24.0,30.0,25,1959.0,21.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,0.8,1.5,26.0,59.0,20.0,0.05,0.05,0.09,0.05,0.09,0.03,0.04,0.07,0.03,0.07,Matches,Ipswich-Town,
7,Axel Tuanzebe,cd COD,DF,26.0,22.0,20,1710.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.2,0.2,0.3,0.5,10.0,61.0,15.0,0.0,0.05,0.05,0.0,0.05,0.01,0.02,0.03,0.01,0.03,Matches,Ipswich-Town,
8,Arijanet Muric,xk KVX,GK,25.0,18.0,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich-Town,
9,Cameron Burgess,au AUS,DF,28.0,18.0,16,1541.0,17.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.5,1.6,2.0,42.0,4.0,0.0,0.12,0.12,0.0,0.12,0.06,0.03,0.09,0.06,0.09,Matches,Ipswich-Town,
10,Ben Johnson,eng ENG,"DF,FW",24.0,23.0,14,1354.0,15.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,1.1,1.1,1.3,2.3,16.0,27.0,33.0,0.07,0.13,0.2,0.07,0.2,0.07,0.09,0.16,0.07,0.16,Matches,Ipswich-Town,
11,Kalvin Phillips,eng ENG,MF,28.0,19.0,14,1237.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.4,0.4,0.2,0.7,4.0,51.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,Ipswich-Town,
12,Alex Palmer,eng ENG,GK,27.0,13.0,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich-Town,
13,Sammie Szmodics,ie IRL,"FW,MF",28.0,20.0,13,992.0,11.0,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,3.4,3.4,0.2,3.6,16.0,19.0,47.0,0.36,0.0,0.36,0.36,0.36,0.31,0.02,0.33,0.31,0.33,Matches,Ipswich-Town,
14,Luke Woolfenden,eng ENG,DF,25.0,15.0,12,1187.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich-Town,
15,Jack Clarke,eng ENG,"FW,MF",23.0,32.0,12,1181.0,13.1,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,2.3,3.5,39.0,44.0,57.0,0.0,0.3,0.3,0.0,0.3,0.09,0.17,0.26,0.09,0.26,Matches,Ipswich-Town,
16,Wes Burns,wls WAL,"FW,DF",29.0,18.0,12,926.0,10.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.6,2.2,38.0,8.0,65.0,0.0,0.1,0.1,0.0,0.1,0.05,0.16,0.21,0.05,0.21,Matches,Ipswich-Town,
17,Julio Enciso,py PAR,"MF,FW",20.0,13.0,12,869.0,9.7,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,1.7,1.7,1.4,3.1,23.0,28.0,44.0,0.21,0.31,0.52,0.21,0.52,0.18,0.14,0.32,0.18,0.32,Matches,Ipswich-Town,
18,Conor Chaplin,eng ENG,"MF,FW",27.0,22.0,10,857.0,9.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,0.7,2.2,13.0,29.0,23.0,0.11,0.11,0.21,0.11,0.21,0.16,0.07,0.23,0.16,0.23,Matches,Ipswich-Town,
19,Nathan Broadhead,wls WAL,"MF,FW",26.0,18.0,7,702.0,7.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.7,1.7,0.7,2.4,20.0,14.0,33.0,0.26,0.0,0.26,0.26,0.26,0.22,0.09,0.31,0.22,0.31,Matches,Ipswich-Town,
20,Christian Walton,eng ENG,GK,28.0,7.0,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich-Town,
21,George Hirst,sct SCO,FW,25.0,26.0,5,661.0,7.3,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,2.1,2.1,0.3,2.5,9.0,13.0,31.0,0.41,0.14,0.54,0.41,0.54,0.29,0.05,0.34,0.29,0.34,Matches,Ipswich-Town,
22,Jaden Philogene Bidace,eng ENG,"FW,DF",22.0,10.0,5,474.0,5.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.2,2.2,13.0,10.0,36.0,0.38,0.0,0.38,0.38,0.38,0.37,0.05,0.42,0.37,0.42,Matches,Ipswich-Town,
23,Jack Taylor,ie IRL,MF,26.0,32.0,4,860.0,9.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,0.5,1.3,11.0,43.0,23.0,0.1,0.0,0.1,0.1,0.1,0.08,0.06,0.13,0.08,0.13,Matches,Ipswich-Town,
24,Harry Clarke,eng ENG,DF,23.0,7.0,4,379.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.1,0.1,0.0,0.1,5.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,Ipswich-Town,
25,Conor Townsend,eng ENG,DF,31.0,6.0,3,335.0,3.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.7,2.0,8.0,13.0,0.0,0.27,0.27,0.0,0.27,0.01,0.18,0.18,0.01,0.18,Matches,Ipswich-Town,
26,Chiedozie Ogbene,ie IRL,FW,27.0,5.0,3,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,Ipswich-Town,
27,Massimo Luongo,au AUS,MF,31.0,11.0,2,201.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich-Town,
28,Ben Godfrey,eng ENG,DF,26.0,3.0,2,159.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich-Town,
29,Ali Al Hamadi,iq IRQ,FW,22.0,11.0,0,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.1,0.4,4.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.24,0.05,0.28,0.24,0.28,Matches,Ipswich-Town,
30,Marcus Harness,eng ENG,MF,28.0,2.0,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich-Town,
31,George Edmundson,eng ENG,DF,26.0,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ipswich-Town,
32,Somto Boniface,eng ENG,DF,18.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Ipswich-Town,
33,Cieran Slicker,sct SCO,GK,21.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Ipswich-Town,
34,Tom Taylor,,MF,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Ipswich-Town,
35,Squad Total,,,25.8,38.0,418,3420.0,38.0,35.0,26.0,61.0,33.0,2.0,2.0,93.0,5.0,34.4,32.8,24.2,57.0,513.0,935.0,920.0,0.92,0.68,1.61,0.87,1.55,0.9,0.64,1.54,0.86,1.5,,Ipswich-Town,
36,Opponent Total,,,26.3,38.0,418,3420.0,38.0,80.0,55.0,135.0,74.0,6.0,6.0,65.0,2.0,72.7,68.3,53.5,121.8,812.0,1726.0,1703.0,2.11,1.45,3.55,1.95,3.39,1.91,1.41,3.32,1.8,3.21,,Ipswich-Town,
0,Mateus Fernandes,pt POR,MF,20.0,36.0,34,2909.0,32.3,2.0,4.0,6.0,2.0,0.0,0.0,8.0,0.0,4.0,4.0,3.0,7.0,76.0,145.0,108.0,0.06,0.12,0.19,0.06,0.19,0.12,0.09,0.22,0.12,0.22,Matches,Southampton,
1,Kyle Walker-Peters,eng ENG,DF,27.0,33.0,33,2918.0,32.4,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,2.8,3.6,114.0,139.0,144.0,0.0,0.06,0.06,0.0,0.06,0.03,0.09,0.11,0.03,0.11,Matches,Southampton,
2,Taylor Harwood-Bellis,eng ENG,DF,22.0,34.0,32,2825.0,31.4,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,1.8,1.8,1.0,2.8,29.0,125.0,9.0,0.03,0.0,0.03,0.03,0.03,0.06,0.03,0.09,0.06,0.09,Matches,Southampton,
3,Aaron Ramsdale,eng ENG,GK,26.0,30.0,30,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Southampton,
4,Jan Bednarek,pl POL,DF,28.0,30.0,30,2531.0,28.1,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,0.7,0.7,0.5,1.2,5.0,60.0,2.0,0.07,0.0,0.07,0.07,0.07,0.02,0.02,0.04,0.02,0.04,Matches,Southampton,
5,Flynn Downes,eng ENG,MF,25.0,27.0,25,2151.0,23.9,1.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,0.6,0.6,1.1,1.7,29.0,66.0,29.0,0.04,0.0,0.04,0.04,0.04,0.03,0.05,0.07,0.03,0.07,Matches,Southampton,
6,Joe Aribo,ng NGA,"MF,DF",28.0,32.0,21,2013.0,22.4,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.7,2.7,1.6,4.3,36.0,75.0,65.0,0.13,0.0,0.13,0.13,0.13,0.12,0.07,0.19,0.12,0.19,Matches,Southampton,
7,Tyler Dibling,eng ENG,"FW,MF",18.0,33.0,20,1874.0,20.8,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,2.5,2.5,1.5,4.1,69.0,64.0,96.0,0.1,0.0,0.1,0.1,0.1,0.12,0.07,0.2,0.12,0.2,Matches,Southampton,
8,Lesley Ugochukwu,fr FRA,MF,20.0,26.0,18,1655.0,18.4,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.9,0.9,1.0,1.9,29.0,49.0,20.0,0.05,0.05,0.11,0.05,0.11,0.05,0.06,0.1,0.05,0.1,Matches,Southampton,
9,Ryan Manning,ie IRL,"DF,MF",28.0,24.0,18,1462.0,16.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,3.2,3.6,14.0,35.0,74.0,0.0,0.06,0.06,0.0,0.06,0.02,0.2,0.22,0.02,0.22,Matches,Southampton,
10,Kamaldeen Sulemana,gh GHA,"FW,MF",22.0,26.0,17,1402.0,15.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,1.0,2.5,63.0,27.0,87.0,0.06,0.06,0.13,0.06,0.13,0.1,0.06,0.16,0.1,0.16,Matches,Southampton,
11,Jack Stephens,eng ENG,DF,30.0,19.0,17,1389.0,15.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.6,0.6,0.2,0.7,14.0,63.0,2.0,0.06,0.0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,Matches,Southampton,
12,Yukinari Sugawara,jp JPN,"DF,MF",24.0,30.0,16,1557.0,17.3,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,2.2,2.7,33.0,72.0,78.0,0.06,0.06,0.12,0.06,0.12,0.03,0.13,0.16,0.03,0.16,Matches,Southampton,
13,Adam Armstrong,eng ENG,"FW,MF",27.0,20.0,15,1248.0,13.9,2.0,2.0,4.0,2.0,0.0,1.0,4.0,0.0,3.3,2.3,1.2,3.5,25.0,21.0,79.0,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches,Southampton,
14,Cameron Archer,eng ENG,FW,23.0,35.0,13,1441.0,16.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,5.7,4.9,0.5,5.4,22.0,14.0,66.0,0.12,0.0,0.12,0.12,0.12,0.36,0.03,0.39,0.31,0.34,Matches,Southampton,
15,James Bree,eng ENG,DF,26.0,17.0,13,1075.0,11.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,1.0,13.0,34.0,43.0,0.0,0.08,0.08,0.0,0.08,0.01,0.08,0.08,0.01,0.08,Matches,Southampton,
16,Paul Onuachu,ng NGA,FW,30.0,25.0,11,1050.0,11.7,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,3.6,3.6,0.5,4.1,7.0,13.0,40.0,0.34,0.09,0.43,0.34,0.43,0.31,0.04,0.35,0.31,0.35,Matches,Southampton,
17,Nathan Wood-Gordon,eng ENG,DF,22.0,11.0,9,773.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.3,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Southampton,
18,William Smallbone,ie IRL,MF,24.0,18.0,6,690.0,7.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.7,1.3,5.0,27.0,25.0,0.13,0.0,0.13,0.13,0.13,0.07,0.1,0.17,0.07,0.17,Matches,Southampton,
19,Welington,br BRA,DF,23.0,10.0,6,482.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,5.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,Southampton,
20,Alex McCarthy,eng ENG,GK,34.0,5.0,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Southampton,
21,Adam Lallana,eng ENG,MF,36.0,14.0,5,361.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.9,1.1,6.0,24.0,10.0,0.0,0.5,0.5,0.0,0.5,0.04,0.23,0.27,0.04,0.27,Matches,Southampton,
22,Ben Brereton,cl CHI,FW,25.0,10.0,4,449.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.1,1.0,12.0,9.0,42.0,0.0,0.0,0.0,0.0,0.0,0.18,0.02,0.2,0.18,0.2,Matches,Southampton,
23,Ross Stewart,sct SCO,FW,28.0,12.0,4,389.0,4.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.0,1.1,3.0,2.0,10.0,0.23,0.0,0.23,0.23,0.23,0.25,0.0,0.25,0.25,0.25,Matches,Southampton,
24,Ryan Fraser,sct SCO,"FW,DF",30.0,8.0,4,306.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,10.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,Southampton,
25,Charlie Taylor,eng ENG,DF,30.0,8.0,3,356.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,3.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Southampton,
26,Joe Lumley,eng ENG,GK,29.0,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Southampton,
27,Armel Bella Kotchap,de GER,DF,22.0,4.0,2,331.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,Southampton,
28,Albert Grønbaek,dk DEN,"FW,MF",23.0,4.0,2,143.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,Matches,Southampton,
29,Jay Robinson,eng ENG,"MF,FW",17.0,4.0,1,137.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,3.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.03,0.44,0.47,0.03,0.47,Matches,Southampton,
30,Maxwel Cornet,ci CIV,FW,27.0,2.0,1,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,Southampton,
31,Samuel Edozie,eng ENG,"DF,FW",21.0,2.0,0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,6.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,Southampton,
32,Samuel Amo-Ameyaw,eng ENG,"FW,DF",18.0,2.0,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.22,0.29,0.07,0.29,Matches,Southampton,
33,Joachim Kayi Sanda,fr FRA,DF,17.0,2.0,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Southampton,
34,Ronnie Edwards,eng ENG,DF,21.0,1.0,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Southampton,
35,Carlos Alcaraz,ar ARG,MF,21.0,1.0,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.62,0.86,1.48,0.62,1.48,Matches,Southampton,
36,Jayden Moore,,DF,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Southampton,
37,Joe O'Brien-Whitmarsh,ie IRL,MF,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Southampton,
38,Squad Total,,,25.2,38.0,418,3420.0,38.0,25.0,16.0,41.0,25.0,0.0,2.0,89.0,3.0,32.7,30.9,24.8,55.8,640.0,1127.0,1118.0,0.66,0.42,1.08,0.66,1.08,0.86,0.65,1.51,0.81,1.47,,Southampton,
